Fund,Actuary_2022,Actuary_2025
Avon,Mercer,Mercer
Barking and Dagenham,Barnett Waddingham,Barnett Waddingham
Barnet,Hymans,Hymans
Bedfordshire,Barnett Waddingham,Barnett Waddingham
Berkshire,Barnett Waddingham,Barnett Waddingham
Bexley,Mercer,Mercer
Brent,Hymans,Hymans
Bromley,Mercer,Mercer
Buckinghamshire,Barnett Waddingham,Barnett Waddingham
Cambridgeshire,Hymans,Hymans
Camden,Hymans,Hymans
Cardiff,Aon,Aon
Cheshire,Hymans,Hymans
City of London Corporation,Barnett Waddingham,Barnett Waddingham
City of Westminster,Hymans,Hymans
Clwyd,Mercer,Mercer
Cornwall,Hymans,Hymans
Croydon,Hymans,Hymans
Cumbria,Mercer,Mercer
Derbyshire,Hymans,Hymans
Devon,Barnett Waddingham,Barnett Waddingham
Dorset,Barnett Waddingham,Barnett Waddingham
Durham,Aon,Aon
Dyfed,Mercer,Mercer
Ealing,Mercer,Mercer
East Riding,Hymans,Hymans
East Sussex,Barnett Waddingham,Barnett Waddingham
Enfield,Aon,Hymans
Environment Agency - active,Hymans,Hymans
Environment Agency - closed*,Hymans,Hymans
Essex,Barnett Waddingham,Barnett Waddingham
Gloucestershire,Hymans,Hymans
Greater Gwent (Torfaen),Hymans,Hymans
Greater Manchester,Hymans,Hymans
Greenwich,Barnett Waddingham,Hymans
Gwynedd,Hymans,Hymans
Hackney,Hymans,Hymans
Hammersmith and Fulham,Hymans,Hymans
Hampshire,Aon,Hymans
Haringey,Hymans,Hymans
Harrow,Hymans,Hymans
Havering,Hymans,Hymans
Hertfordshire,Hymans,Barnett Waddingham
Hillingdon,Hymans,Hymans
Hounslow,Barnett Waddingham,Barnett Waddingham
Isle of Wight,Hymans,Hymans
Islington,Mercer,Mercer
Kensington and Chelsea,Hymans,Hymans
Kent,Barnett Waddingham,Barnett Waddingham
Kingston upon Thames,Hymans,Hymans
Lambeth,Hymans,Hymans
Lancashire,Mercer,Mercer
Leicestershire,Hymans,Hymans
Lewisham,Hymans,Hymans
Lincolnshire,Barnett Waddingham,Barnett Waddingham
London Pensions Fund Authority,Barnett Waddingham,Barnett Waddingham
Merseyside,Mercer,Mercer
Merton,Barnett Waddingham,Barnett Waddingham
Newham,Barnett Waddingham,Barnett Waddingham
Norfolk,Hymans,Hymans
North Yorkshire,Aon,Aon
Northamptonshire,Hymans,Hymans
Nottinghamshire,Barnett Waddingham,Barnett Waddingham
Oxfordshire,Hymans,Hymans
Powys,Aon,Aon
Redbridge,Hymans,Hymans
Rhondda Cynon Taf,Aon,Aon
Shropshire,Mercer,Mercer
Somerset,Barnett Waddingham,Barnett Waddingham
South Yorkshire,Hymans,Hymans
Southwark,Aon,Aon
Staffordshire,Hymans,Hymans
Suffolk,Hymans,Hymans
Surrey,Hymans,Hymans
Sutton,Hymans,Hymans
Swansea,Aon,Aon
Teesside,Hymans,Hymans
Tower Hamlets,Hymans,Hymans
Tyne and Wear,Aon,Aon
Waltham Forest,Mercer,Mercer
Wandsworth,Barnett Waddingham,Barnett Waddingham
Warwickshire,Hymans,Hymans
West Midlands,Hymans,Hymans
West Sussex,Hymans,Hymans
West Yorkshire,Aon,Aon
Wiltshire,Hymans,Barnett Waddingham
Worcestershire,Mercer,Hymans
