LEA,Fund,Valuation,Payroll_base_year,Certificate_total_year1,Council_line_excludes_schools,Report_payroll_GBP,Report_payroll_base_year_GBP,Report_payroll_source,DfE_LA_code,DfE_LA_name,DfE_support_staff_costs_GBP,DfE_vs_report_pct,Notes
Surrey County Council,Surrey,2022,2021-22,"14.8% plus £9,084,000",No,,,None published - report gives whole-fund payroll only,936,Surrey,256170216,,
Staffordshire County Council,Staffordshire,2022,2021-22,"21.6% plus £9,204,000",Yes,,,None published - report gives whole-fund payroll only,860,Staffordshire,200298483,,
Staffordshire County Council,Staffordshire,2025,2024-25,"19.0% plus £14,198,000",Yes,,,None published - report gives whole-fund payroll only,860,Staffordshire,253499759,,
Bath and North East Somerset Council,Avon,2022,2021-22,"18.7% plus £1,584,560",No,,,None published - report gives whole-fund payroll only,800,Bath and North East Somerset,42550730,,
Bristol City Council,Avon,2022,2021-22,"18.3% plus £13,925,810",No,,,None published - report gives whole-fund payroll only,801,"Bristol, City of",118303782,,
North Somerset Council,Avon,2022,2021-22,"18.5% plus £1,755,480",No,,,None published - report gives whole-fund payroll only,802,North Somerset,52333052,,
South Gloucestershire Council,Avon,2022,2021-22,"18.9% plus £1,557,010",No,,,None published - report gives whole-fund payroll only,803,South Gloucestershire,60988470,,
London Borough of Barnet,Barnet,2025,2024-25,"20.4% less £2,600,000",No,,,None published - report gives whole-fund payroll only,302,Barnet,140528084,,
Luton Borough Council,Bedfordshire,2022,2021-22,20.2% plus £4.26m,No,,,None published - report gives whole-fund payroll only,821,Luton,80255591,,
Central Bedfordshire Council,Bedfordshire,2022,2021-22,19.3% plus £7.56m,No,,,None published - report gives whole-fund payroll only,823,Central Bedfordshire,71449213,,
Bedford Borough Council,Bedfordshire,2022,2021-22,19.9% plus £5.80m,No,,,None published - report gives whole-fund payroll only,822,Bedford,51986310,,
Bedford Borough Council,Bedfordshire,2025,2024-25,16.9% plus £5.27m,No,,,None published - report gives whole-fund payroll only,822,Bedford,71029704,,
Bracknell Forest Council,Berkshire,2022,2021-22,17.2% plus £4.30m,No,,,None published - report gives whole-fund payroll only,867,Bracknell Forest,29501637,,
Bracknell Forest Council,Berkshire,2025,2024-25,15.2% plus £5.16m,No,,,None published - report gives whole-fund payroll only,867,Bracknell Forest,37774771,,
Royal Borough of Windsor and Maidenhead,Berkshire,2022,2021-22,16.6% plus £4.40m,Yes,,,None published - report gives whole-fund payroll only,868,Windsor and Maidenhead,42104826,,
Royal Borough of Windsor and Maidenhead,Berkshire,2025,2024-25,15.6% plus £3.66m,Yes,,,None published - report gives whole-fund payroll only,868,Windsor and Maidenhead,55940587,,
West Berkshire Council,Berkshire,2022,2021-22,17.3% plus £4.83m,No,,,None published - report gives whole-fund payroll only,869,West Berkshire,40760401,,
West Berkshire Council,Berkshire,2025,2024-25,15.6% plus £6.90m,No,,,None published - report gives whole-fund payroll only,869,West Berkshire,54345943,,
Reading Borough Council,Berkshire,2022,2021-22,16.2% plus £5.77m,No,,,None published - report gives whole-fund payroll only,870,Reading,40659018,,
Reading Borough Council,Berkshire,2025,2024-25,14.8% plus £6.44m,No,,,None published - report gives whole-fund payroll only,870,Reading,56499898,,
Slough Borough Council,Berkshire,2022,2021-22,17.2% plus £4.53m,No,,,None published - report gives whole-fund payroll only,871,Slough,52659185,,
Slough Borough Council,Berkshire,2025,2024-25,15.8% plus £5.02m,No,,,None published - report gives whole-fund payroll only,871,Slough,60595179,,
Wokingham Borough Council,Berkshire,2022,2021-22,16.4% plus £3.42m,No,,,None published - report gives whole-fund payroll only,872,Wokingham,42702131,,
Wokingham Borough Council,Berkshire,2025,2024-25,14.7% plus £5.53m,No,,,None published - report gives whole-fund payroll only,872,Wokingham,56189034,,
Cambridgeshire County Council,Cambridgeshire,2022,2021-22,"17.7% plus £3,943,000",Yes,,,None published - report gives whole-fund payroll only,873,Cambridgeshire,151457394,,
Peterborough City Council,Cambridgeshire,2022,2021-22,"17.5% plus £1,955,000",Yes,,,None published - report gives whole-fund payroll only,874,Peterborough,73665854,,
London Borough of Camden,Camden,2022,2021-22,"19.8% plus £19,666,000",No,,,None published - report gives whole-fund payroll only,202,Camden,46745862,,
London Borough of Camden,Camden,2025,2024-25,"18.7% plus £14,331,000",No,,,None published - report gives whole-fund payroll only,202,Camden,64016114,,
Denbighshire County Council,Clwyd,2022,2021-22,"18.8% less £1,723,300",No,,,None published - report gives whole-fund payroll only,,,,,Welsh LEA: not covered by the DfE (England-only) data.
Wrexham County Borough Council,Clwyd,2022,2021-22,"19.0% less £2,100,000",No,,,None published - report gives whole-fund payroll only,,,,,Welsh LEA: not covered by the DfE (England-only) data.
Cornwall Council,Cornwall,2022,2021-22,"19.3% plus £8,940k",Yes,,,None published - report gives whole-fund payroll only,908,Cornwall,110447404,,
Cornwall Council,Cornwall,2025,2024-25,"20.4% plus £3,534,000",Yes,,,None published - report gives whole-fund payroll only,908,Cornwall,132442099,,
Wiltshire Council,Wiltshire,2022,2021-22,"20.7% plus £4,829,000",Yes,,,None published - report gives whole-fund payroll only,865,Wiltshire,103104921,,
Wiltshire Council,Wiltshire,2025,2024-25,21.0% plus £2.27m,Yes,,,None published - report gives whole-fund payroll only,865,Wiltshire,124849529,,
Warwickshire County Council,Warwickshire,2022,2021-22,"19.7% plus £1,483,000",No,,,None published - report gives whole-fund payroll only,937,Warwickshire,135400128,,
Waltham Forest Council,Waltham Forest,2022,2021-22,"16.7% plus £8,486,200",No,,,None published - report gives whole-fund payroll only,320,Waltham Forest,86051617,,
Waltham Forest Council,Waltham Forest,2025,2024-25,"14.3% plus £6,763,000",No,,,None published - report gives whole-fund payroll only,320,Waltham Forest,98458430,,
Derbyshire County Council,Derbyshire,2022,2021-22,"20.8% plus £582,000",No,,,None published - report gives whole-fund payroll only,830,Derbyshire,176403619,,
Devon County Council,Devon,2022,2021-22,19.2% plus £5.42m,No,,,None published - report gives whole-fund payroll only,878,Devon,163078511,,
Devon County Council,Devon,2025,2024-25,16.5% plus £7.86m,No,,,None published - report gives whole-fund payroll only,878,Devon,199423411,,
Dorset Council,Dorset,2022,2021-22,19.1% plus £5.82m,No,,,None published - report gives whole-fund payroll only,838,Dorset,76716199,,
Dorset Council,Dorset,2025,2024-25,16.2% plus £9.31m,No,,,None published - report gives whole-fund payroll only,838,Dorset,85607156,,
"Bournemouth, Christchurch and Poole Council",Dorset,2022,2021-22,19.0% plus £3.97m,No,,,None published - report gives whole-fund payroll only,839,"Bournemouth, Christchurch and Poole",80706828,,
"Bournemouth, Christchurch and Poole Council",Dorset,2025,2024-25,16.3% plus £4.09m,No,,,None published - report gives whole-fund payroll only,839,"Bournemouth, Christchurch and Poole",100415855,,
London Borough of Tower Hamlets,Tower Hamlets,2022,2021-22,"18.6% plus £13,650,000",Yes,,,None published - report gives whole-fund payroll only,211,Tower Hamlets,106179800,,
Durham County Council,Durham,2022,2021-22,"18.1% plus £1,415,000 plus £5,481,000 in April",No,,,None published - report gives whole-fund payroll only,840,County Durham,131044422,,
Durham County Council,Durham,2025,2024-25,"13.8% plus £13,474,000",No,,,None published - report gives whole-fund payroll only,840,County Durham,155194200,,
London Borough of Ealing,Ealing,2022,2021-22,"18.7% plus £5,641,500",No,,,None published - report gives whole-fund payroll only,307,Ealing,94977069,,
Kingston upon Hull City Council,East Riding,2022,2021-22,"19.9% plus £2,490,000",Yes,,,None published - report gives whole-fund payroll only,810,"Kingston upon Hull, City of",71096413,,
North East Lincolnshire Council,East Riding,2022,2021-22,"19.7% plus £1,461,000",Yes,,,None published - report gives whole-fund payroll only,812,North East Lincolnshire,40455801,,
North Lincolnshire Council,East Riding,2022,2021-22,"20.0% plus £926,000",Yes,,,None published - report gives whole-fund payroll only,813,North Lincolnshire,38212995,,
London Borough of Sutton,Sutton,2022,2021-22,"19.1% plus £3,938k",No,,,None published - report gives whole-fund payroll only,319,Sutton,58456855,,
London Borough of Sutton,Sutton,2025,2024-25,"19.1% plus £1,360,000",No,,,None published - report gives whole-fund payroll only,319,Sutton,83331290,,
Somerset Council,Somerset,2022,2021-22,20.1% plus £5.56m,No,,,None published - report gives whole-fund payroll only,933,Somerset,143193777,,
Somerset Council,Somerset,2025,2024-25,17.2% plus £4.08m,No,,,None published - report gives whole-fund payroll only,933,Somerset,158783138,,
Telford & Wrekin Council,Shropshire,2022,2021-22,"17.2% plus £94,500",No,,,None published - report gives whole-fund payroll only,894,Telford and Wrekin,49323934,,
London Borough of Harrow,Harrow,2022,2021-22,"16.0% plus £6,000,000",No,85714286,78915266,"Certificate footnote 2: equivalent total rate for the London Borough of Harrow Pool is 23.0% (pool = LB Harrow, Cannon Lane F&M School, Grange Primary School)",310,Harrow,61803084,-21.7,"Implied pool payroll for 2023/24, deflated to 2021-22 using the fund's own ratio of 2023/24 assumed payroll to 2021-22 actual pay. Pool-level, not council-only."
Powys County Council,Powys,2022,2021-22,"21.4% plus £2,362,000",No,,,None published - report gives whole-fund payroll only,,,,,Welsh LEA: not covered by the DfE (England-only) data.
London Borough of Havering,Havering,2022,2021-22,"16.5% plus £10,650k",No,,,None published - report gives whole-fund payroll only,311,Havering,66377928,,
Nottinghamshire County Council,Nottinghamshire,2022,2021-22,19.8% plus £3.88m,No,,,None published - report gives whole-fund payroll only,891,Nottinghamshire,191611130,,
Nottinghamshire County Council,Nottinghamshire,2025,2024-25,17.5% plus £2.63m,No,,,None published - report gives whole-fund payroll only,891,Nottinghamshire,239272166,,
West Northamptonshire Council,Northamptonshire,2022,2021-22,"19.6% plus £6,446,000",No,,,None published - report gives whole-fund payroll only,941,West Northamptonshire,96981938,,
North Northamptonshire Council,Northamptonshire,2022,2021-22,"19.7% plus £3,323,000",No,,,None published - report gives whole-fund payroll only,940,North Northamptonshire,88211528,,
Norfolk County Council,Norfolk,2022,2021-22,"15.5% plus £16,780,000",No,,,None published - report gives whole-fund payroll only,926,Norfolk,196305597,,
Norfolk County Council,Norfolk,2025,2024-25,"15.5% plus £9,826,000",No,,,None published - report gives whole-fund payroll only,926,Norfolk,265947720,,
Islington Council,Islington,2022,2021-22,"18.3% plus £14,285,000",No,,,None published - report gives whole-fund payroll only,206,Islington,60031577,,
Liverpool City Council,Merseyside,2022,2021-22,"18.7% less £9,841,000",No,,,None published - report gives whole-fund payroll only,341,Liverpool,129267599,,
Knowsley MBC,Merseyside,2022,2021-22,"18.6% less £2,703,700",No,,,None published - report gives whole-fund payroll only,340,Knowsley,38869597,,
St Helens MBC,Merseyside,2022,2021-22,"18.5% less £3,746,300",No,,,None published - report gives whole-fund payroll only,342,St. Helens,41847096,,
Sefton MBC,Merseyside,2022,2021-22,"19.1% less £3,609,000",No,,,None published - report gives whole-fund payroll only,343,Sefton,61794904,,
Wirral Council,Merseyside,2022,2021-22,"18.7% less £6,103,500",No,,,None published - report gives whole-fund payroll only,344,Wirral,85228433,,
Royal Borough of Kingston upon Thames,Kingston upon Thames,2022,2021-22,"17.7% plus £1,773k",No,,,None published - report gives whole-fund payroll only,314,Kingston upon Thames,44242102,,
London Borough of Lambeth,Lambeth,2022,2021-22,"19.3% plus £8,500,000",No,154545455,145033172,Certificate footnote 1: equivalent rate for the London Borough of Lambeth Pool is 24.8% (footnote also says it applies to LEA schools),208,Lambeth,86251209,-40.5,"Implied pool payroll for 2023/24, deflated to 2021-22 using the fund's own ratio of 2023/24 assumed payroll to 2021-22 actual pay. Pool-level, not council-only."
London Borough of Lambeth,Lambeth,2025,2024-25,"19.3% plus £3,000,000",No,,,None published - report gives whole-fund payroll only,208,Lambeth,89101155,,
London Borough of Lewisham,Lewisham,2022,2021-22,"17.6% plus £5,750,000",No,130681818,121317661,Certificate footnote 1: equivalent rate for the London Borough of Lewisham Pool is 22.0% for 2023/24,209,Lewisham,85018071,-29.9,"Implied pool payroll for 2023/24, deflated to 2021-22 using the fund's own ratio of 2023/24 assumed payroll to 2021-22 actual pay. Pool-level, not council-only."
